slug,corpus,cycle,k,attestation,trust_chain,least_privilege,declarative_policy,continuous_adaptive,immutability,audit_evidence,cryptographic_identity,segmentation,s2_x,s2_y,s2_z,gap,collision_class_id,collision_class_size
planning-and-task-breakdown,skills,1,8,1,1,1,0,1,1,1,1,1,0.760081539205725,-0.30745782868403515,0.5724908185635421,0.2669410895654686,4,8
play-audio-on-rock1,skills,1,1,0,0,0,0,0,0,0,0,1,-0.5799792611303837,-0.13299044262204365,0.8037024317680314,1.2544535294548387,2,10
pr-launch,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
prior-art-search,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
radio-queue,skills,1,1,0,0,0,0,0,0,0,0,1,-0.5799792611303837,-0.13299044262204365,0.8037024317680314,1.2544535294548387,2,10
recursive-self-improvement,skills,1,7,1,0,1,1,1,1,1,0,1,0.9719605614517852,-0.18322996273432088,0.14737519376988095,0.6606380380025785,15,2
restful-self,skills,1,1,0,0,0,0,0,1,0,0,0,-0.6110039576293869,0.007889096265978552,0.7915882300295607,1.2902259155583748,16,6
rootless-container-builds,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
security-and-hardening,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
self-archaeology,skills,1,2,0,0,0,0,0,1,1,0,0,-0.70459894840369,0.15915149121028607,0.6915281084337472,1.4038809400913945,12,6
shipping-and-launch,skills,1,7,1,1,0,0,1,1,1,1,1,0.9283988776208287,-0.35414559470211704,0.11250076348838477,0.7125523335502835,17,1
sigstore-rekor-v2,skills,1,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
single-action-curve-rsi,skills,1,4,0,0,0,0,1,1,1,1,0,-0.5452987972199448,-0.6649116523068028,0.5104328715679655,1.3553565220744468,18,1
slsa-provenance,skills,1,7,1,0,1,1,0,1,1,1,1,0.7224690877747492,0.5600626287125012,0.4054235675556674,0.7489024535688446,3,4
source-driven-development,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
spec-driven-development,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
systemd-hardening,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
systemd-homed,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
test-driven-development,skills,1,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
the-cult,skills,1,8,1,1,1,0,1,1,1,1,1,0.760081539205725,-0.30745782868403515,0.5724908185635421,0.2669410895654686,4,8
the-follower,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
token-efficiency,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
using-agent-skills,skills,1,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
yubikey-operations,skills,1,7,1,1,0,1,0,1,1,1,1,0.5435009284695719,0.6279280210776734,0.5570575743118392,0.7712058590257441,10,12
0pointer-mastery,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
api-and-interface-design,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
arm-trusted-firmware-optee,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
ascii-uart-animator,skills,2,5,1,0,0,1,0,1,1,0,1,-0.07650492476374494,0.8889942796715081,0.45148218923699546,1.2811694930122048,19,8
audit-evidence-packaging,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
bcvk-virtualization,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
bootc-images,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
browser-testing-with-devtools,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
ci-cd-and-automation,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
code-review-and-quality,skills,2,7,1,1,1,0,0,1,1,1,1,0.7817101147709021,0.5059332901227703,0.3646379058880355,0.7271616286132238,9,28
code-simplification,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
composefs-kernel-floors,skills,2,6,1,1,1,0,0,1,0,1,1,0.8089183356516421,0.4416840043757272,-0.38802882177126996,1.2567330922364697,20,6
context-engineering,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
context-isolation,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
curve-guided-rsi,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
curve-guided-rsi-self,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
debug-with-cli,skills,2,6,1,0,0,1,0,1,1,1,1,0.34195305400484943,0.893070333576271,0.29239269509125004,1.1456637973612787,21,2
debugging-and-error-recovery,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
deprecation-and-migration,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
dm-verity-and-integrity,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-bake-action,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-build-policy,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-build-push-action,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-buildx-rootless,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-login-action,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-metadata-action,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-setup-buildx-action,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-setup-qemu-action,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
documentation-and-adrs,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
doubt-driven-development,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
drm-gpu-quota-secure-time,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
fedora-bootc-base-images,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
frontend-ui-engineering,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
ftpm-optee-tpm,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
git-workflow-and-versioning,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
github-actions,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
github-api,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
github-stacked-pull-requests,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
human-for-feasibility,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
hyperspherical-harmonic-curve,skills,2,4,1,1,0,0,1,1,0,0,0,-0.9679235318861354,-0.249424850860375,-0.030187417815190402,1.8137274568043844,22,1
idea-kill,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
idea-refine,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
ideate-solo,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
incremental-implementation,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
internal-big-picture,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
internal-nonlex-tokens,skills,2,4,1,0,0,1,0,1,1,0,0,-0.3207796294973044,0.7118927179299712,0.6247472988799957,1.2948042108201008,23,24
interview-me,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
learned-latent-curve,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
linkedin-browser-outreach,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
mkosi-image-builder,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
negative-skill-space,skills,2,5,1,1,0,1,1,0,1,0,0,-0.5482298287766296,0.17841982771809514,-0.8170743050155186,1.993226674264652,24,2
novelty-indication,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
nspawn-containers,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
observability-and-instrumentation,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
performance-optimization,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
planning-and-task-breakdown,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
play-audio-on-rock1,skills,2,5,1,0,0,1,0,1,1,0,1,-0.07650492476374494,0.8889942796715081,0.45148218923699546,1.2811694930122048,19,8
pr-launch,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
prior-art-search,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
radio-queue,skills,2,5,1,0,0,1,0,1,1,0,1,-0.07650492476374494,0.8889942796715081,0.45148218923699546,1.2811694930122048,19,8
recursive-self-improvement,skills,2,8,1,1,1,1,1,1,1,0,1,0.8276549961399876,-0.026085738015399,0.560630664195876,0.24668285835501796,25,42
restful-self,skills,2,4,1,0,0,1,0,1,1,0,0,-0.3207796294973044,0.7118927179299712,0.6247472988799957,1.2948042108201008,23,24
rootless-container-builds,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
security-and-hardening,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
self-archaeology,skills,2,4,1,0,0,1,0,1,1,0,0,-0.3207796294973044,0.7118927179299712,0.6247472988799957,1.2948042108201008,23,24
shipping-and-launch,skills,2,8,1,1,1,0,1,1,1,1,1,0.760081539205725,-0.30745782868403515,0.5724908185635421,0.2669410895654686,4,8
sigstore-rekor-v2,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
single-action-curve-rsi,skills,2,6,1,0,0,1,1,1,1,1,0,0.5735768587219509,0.041824390599723885,-0.8180833132937141,1.560628532106284,26,1
slsa-provenance,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
source-driven-development,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
spec-driven-development,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
systemd-hardening,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
systemd-homed,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
test-driven-development,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
the-cult,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
the-follower,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
token-efficiency,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
using-agent-skills,skills,2,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
yubikey-operations,skills,2,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
0pointer-mastery,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
api-and-interface-design,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
arm-trusted-firmware-optee,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
ascii-uart-animator,skills,3,6,1,1,0,1,0,1,1,0,1,0.2673731570652436,0.7859098987381443,0.5575457164631117,1.0003562383630993,27,8
audit-evidence-packaging,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
bcvk-virtualization,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
bootc-images,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
browser-testing-with-devtools,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
ci-cd-and-automation,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
code-review-and-quality,skills,3,8,1,1,1,1,0,1,1,1,1,0.6484564351097944,0.3633061646667195,0.6689640367612114,0.48013627704469514,1,107
code-simplification,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
composefs-kernel-floors,skills,3,7,1,1,1,1,0,1,0,1,1,0.8451361680398758,0.39920102345165664,0.3555044308388078,0.657971302744816,28,6
context-engineering,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
context-isolation,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
curve-guided-rsi,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
curve-guided-rsi-self,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
debug-with-cli,skills,3,7,1,1,0,1,0,1,1,1,1,0.5435009284695719,0.6279280210776734,0.5570575743118392,0.7712058590257441,10,12
debugging-and-error-recovery,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
deprecation-and-migration,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
dm-verity-and-integrity,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-bake-action,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-build-policy,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-build-push-action,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-buildx-rootless,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-login-action,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-metadata-action,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-setup-buildx-action,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
docker-setup-qemu-action,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
documentation-and-adrs,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
doubt-driven-development,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
drm-gpu-quota-secure-time,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
fedora-bootc-base-images,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
frontend-ui-engineering,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
ftpm-optee-tpm,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
git-workflow-and-versioning,skills,3,9,1,1,1,1,1,1,1,1,1,0.6722376930131564,-0.11210645872304956,0.7317982139940807,0,0,795
